harvest_year,manure_type,date_applied,strip,sample,replicate,amount_FW_ t_ha,DM_percent,amount_DM_t_ha,N_percent_FW,C_percent_DM,P_percent_DM,K_percent_DM,Ca_percent_DM,Mg_percent_DM,Na_percent_DM,S_percent_DM,Fe_percent_DM,Mn_percent_DM,Zn_percent_DM,Cu_percent_DM,Ni_percent_DM,Co_percent_DM,Cd_percent_DM,Cr_percent_DM,Pb_percent_DM,N_kg_ha,C_kg_ha,P_kg_ha,K_kg_ha,Ca_kg_ha,Mg_kg_ha,Na_kg_ha,S_kg_ha,Fe_kg_ha,Mn_kg_ha,Zn_kg_ha,Cu_kg_ha,Ni_kg_ha,Co_kg_ha,Cd_kg_ha,Cr_kg_ha,Pb_kg_ha,C:N,note_id
2018,FYM,2017-09-22 00:00:00,"2.1, 2.2",B,*,35.000,26.994,9.448,0.748,33.210,0.601,3.626,2.395,0.533,0.272,0.496,*,*,*,*,*,*,*,*,*,261.800,3137.600,56.800,342.600,226.200,50.300,25.700,46.900,*,*,*,*,*,*,*,*,*,12.000,*
2019,FYM,2018-09-17 00:00:00,"2.1, 2.2",A,*,35.000,21.421,7.497,0.632,37.910,0.661,4.536,1.963,0.480,0.295,0.597,*,*,*,*,*,*,*,*,*,221.200,2842.300,49.500,340.100,147.200,36.000,22.200,44.700,*,*,*,*,*,*,*,*,*,12.800,*
2019,FYM,2018-09-17 00:00:00,"2.1, 2.2",B,*,35.000,28.350,9.922,0.667,34.810,0.597,4.520,2.132,0.474,0.323,0.581,*,*,*,*,*,*,*,*,*,233.400,3454.000,59.200,448.500,211.500,47.100,32.000,57.600,*,*,*,*,*,*,*,*,*,14.800,*
1852-1878,rapeseed cake,autumn,"15, 19",*,*,0.561,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
1879-1882,rapeseed cake,autumn,19,*,*,1.906,*,*,5.037,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
1883-1940,rapeseed cake,autumn,19,*,*,2.118,*,*,4.721,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,100.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"6,10"
1926,rapeseed cake,1925-11-23 00:00:00,19,*,*,2.118,*,*,5.100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,108.018,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1927,rapeseed cake,1926-10-06 00:00:00,19,*,*,2.118,*,*,5.100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,108.018,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1928,rapeseed cake,1927-10-17 00:00:00,19,*,*,2.118,*,*,5.100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,108.018,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1929,rapeseed cake,1928-10-14 00:00:00,19,*,*,2.118,*,*,5.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,120.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1930,rapeseed cake,1929-10-12 00:00:00,19,*,*,2.118,*,*,5.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,120.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1931,rapeseed cake,1930-10-14 00:00:00,19,*,*,2.118,*,*,5.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,120.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1932,rapeseed cake,1931-10-08 00:00:00,19,*,*,2.118,*,*,5.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,120.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1933,rapeseed cake,1932-10-10 00:00:00,19,*,*,2.118,*,*,5.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,120.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1934,rapeseed cake,1933-10-09 00:00:00,19,*,*,2.118,*,*,5.330,*,1.100,1.230,*,*,*,*,*,*,*,*,*,*,*,*,*,112.889,*,23.300,26.050,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1935,rapeseed cake,1934-10-18 00:00:00,19,*,*,2.118,*,*,5.330,*,1.100,1.230,*,*,*,*,*,*,*,*,*,*,*,*,*,112.889,*,23.300,26.050,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1936,rapeseed cake,1935-10-28 00:00:00,19,*,*,2.118,*,*,5.600,*,0.810,0.820,*,*,*,*,*,*,*,*,*,*,*,*,*,118.608,*,17.200,17.370,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1937,rapeseed cake,1936-10-06 00:00:00,19,*,*,2.118,*,*,5.520,*,0.790,0.860,*,*,*,*,*,*,*,*,*,*,*,*,*,116.914,*,16.700,18.210,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1938,rapeseed cake,1937-10-12 00:00:00,19,*,*,2.118,*,*,5.505,*,1.020,1.065,*,*,*,*,*,*,*,*,*,*,*,*,*,116.596,*,21.600,22.560,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"8,9"
1939,rapeseed cake,1938-10-21 00:00:00,19,*,*,2.118,*,*,5.790,*,0.970,1.200,*,*,*,*,*,*,*,*,*,*,*,*,*,122.632,*,20.500,25.420,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1940,rapeseed cake,1939-10-17 00:00:00,19,*,*,2.118,*,*,5.790,*,0.970,1.200,*,*,*,*,*,*,*,*,*,*,*,*,*,122.632,*,20.500,25.420,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1941,castor bean meal,1940-10-16 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1942,castor bean meal,1941-10-17 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1943,castor bean meal,1942-09-22 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1944,castor bean meal,1943-10-11 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1945,castor bean meal,1944-10-30 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1946,castor bean meal,1945-10-17 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1947,castor bean meal,1946-10-16 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1948,castor bean meal,1947-10-13 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1949,castor bean meal,1948-11-11 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1950,castor bean meal,1949-11-03 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1951,castor bean meal,1950-10-23 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1952,castor bean meal,1951-10-22 00:00:00,19,*,*,2.118,*,*,5.080,*,0.820,1.080,*,*,*,*,*,*,*,*,*,*,*,*,*,107.594,*,17.400,22.870,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
1953,castor bean meal,1952-11-11 00:00:00,19,*,*,2.118,*,*,6.240,*,1.100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,132.163,*,23.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1954,castor bean meal,1953-10-21 00:00:00,19,*,*,2.118,*,*,6.240,*,1.100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,132.163,*,23.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
1955,castor bean meal,1954-01-05 00:00:00,19,*,*,1.560,*,*,6.150,*,0.834,0.971,*,*,*,*,*,*,*,*,*,*,*,*,*,95.940,*,13.000,15.150,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1956,castor bean meal,1955-10-29 00:00:00,19,*,*,1.560,*,*,6.150,*,0.834,0.971,*,*,*,*,*,*,*,*,*,*,*,*,*,95.940,*,13.000,15.150,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1957,castor bean meal,1956-10-29 00:00:00,19,*,*,1.584,*,*,6.150,*,0.834,0.971,*,*,*,*,*,*,*,*,*,*,*,*,*,97.416,*,13.200,15.380,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1958,castor bean meal,1957-11-20 00:00:00,19,*,*,1.713,*,*,5.760,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,98.669,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1959,castor bean meal,1958-12-04 00:00:00,19,*,*,1.690,*,*,5.760,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,97.344,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1960,castor bean meal,1959-10-07 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1961,castor bean meal,1961-01-17 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1962,castor bean meal,1961-09-29 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1963,castor bean meal,1962-10-23 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1964,castor bean meal,1963-10-15 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1965,castor bean meal,1964-10-19 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1966,castor bean meal,1965-11-15 00:00:00,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1967,castor bean meal,1966-11-02 00:00:00,19,*,*,1.801,89.950,1.620,5.330,*,1.120,1.000,*,*,*,*,*,*,*,*,*,*,*,*,*,96.000,*,18.100,16.200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
1968,castor bean meal,1967-09-19 00:00:00,19,*,*,1.505,89.070,1.340,6.380,*,1.340,1.250,0.866,0.826,0.013,*,*,*,*,*,*,*,*,*,*,96.000,*,18.000,16.800,11.610,11.070,0.174,*,*,*,*,*,*,*,*,*,*,*,7
1969,castor bean meal,1968-09-25 00:00:00,19,*,*,1.505,89.070,1.340,6.380,*,1.340,1.250,0.866,0.826,0.013,*,*,*,*,*,*,*,*,*,*,96.000,*,18.000,16.800,11.610,11.070,0.174,*,*,*,*,*,*,*,*,*,*,*,7
1970,castor bean meal,1969-09-29 00:00:00,19,*,*,1.882,89.000,1.680,5.100,*,1.240,1.150,0.830,0.740,0.010,*,*,*,*,*,*,*,*,*,*,96.000,*,20.800,19.300,13.900,12.400,0.168,*,*,*,*,*,*,*,*,*,*,*,7
1971,castor bean meal,1970-09-18 00:00:00,19,*,*,1.882,88.800,1.670,5.100,*,1.100,1.180,0.770,0.710,0.011,*,*,*,*,*,*,*,*,*,*,96.000,*,18.400,19.700,12.870,11.870,0.184,*,*,*,*,*,*,*,*,*,*,*,7
1972,castor bean meal,1971-09-21 00:00:00,19,*,*,1.882,88.800,1.670,5.100,*,1.100,1.180,0.770,0.710,0.011,*,*,*,*,*,*,*,*,*,*,96.000,*,18.400,19.700,12.870,11.870,0.184,*,*,*,*,*,*,*,*,*,*,*,7
1973,castor bean meal,1972-10-03 00:00:00,19,*,*,1.882,88.800,1.670,5.100,*,1.100,1.180,0.770,0.710,0.011,*,*,*,*,*,*,*,*,*,*,96.000,*,18.400,19.700,12.870,11.870,0.184,*,*,*,*,*,*,*,*,*,*,*,7
1974,castor bean meal,1973-10-05 00:00:00,19,*,*,1.699,89.000,1.510,5.650,*,1.240,1.370,0.680,0.700,0.021,*,*,*,*,*,*,*,*,*,*,96.000,*,18.800,20.700,10.280,10.590,0.318,*,*,*,*,*,*,*,*,*,*,*,7
1975,castor bean meal,1974-10-24 00:00:00,19,*,*,1.699,89.000,1.510,5.650,*,1.240,1.370,0.680,0.700,0.021,*,*,*,*,*,*,*,*,*,*,96.000,*,18.800,20.700,10.280,10.590,0.318,*,*,*,*,*,*,*,*,*,*,*,7
1976,castor bean meal,1975-09-30 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1977,castor bean meal,1976-10-08 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1978,castor bean meal,1977-09-22 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1979,castor bean meal,1978-10-02 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1980,castor bean meal,1979-09-24 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1981,castor bean meal,1980-09-08 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1982,castor bean meal,1981-09-21 00:00:00,19,*,*,1.582,88.400,1.400,6.070,*,1.110,1.260,0.661,0.686,0.007,*,*,*,*,*,*,*,*,*,*,96.000,*,15.500,17.600,9.240,9.590,0.098,*,*,*,*,*,*,*,*,*,*,*,7
1983,castor bean meal,1982-09-16 00:00:00,19,*,1.000,1.587,89.400,1.420,6.050,*,1.015,1.104,0.631,0.571,0.019,*,0.046,0.004,0.008,0.002,0.001,0.00023323999999999998,8.334e-05,0.001,0.0018277999999999999,96.000,*,14.400,15.656,8.949,8.105,0.265,*,0.650,0.059,0.112,0.033,0.018,0.0033086925223140503,0.001182243332231405,0.008,0.025928778049586786,*,"7,12"
1983,castor bean meal,1982-09-16 00:00:00,19,*,2.000,1.587,89.400,1.420,6.050,*,1.049,1.198,0.630,0.590,0.016,*,0.047,0.004,0.008,0.003,0.001,LOD,LOD,0.001,LOD,96.000,*,14.900,16.990,8.940,8.368,0.229,*,0.661,0.062,0.115,0.038,0.007,LOD,LOD,0.007,LOD,*,"7,12, 13"
1984,castor bean meal,1983-09-06 00:00:00,19,*,*,1.505,88.700,1.330,6.380,*,0.980,1.120,0.670,0.550,0.020,*,*,*,*,*,*,*,*,*,*,96.000,*,13.100,14.900,8.940,7.340,0.267,*,*,*,*,*,*,*,*,*,*,*,7
1985,castor bean meal,1984-09-18 00:00:00,19,*,*,1.505,88.700,1.330,6.380,*,0.980,1.120,0.670,0.550,0.020,*,*,*,*,*,*,*,*,*,*,96.000,*,13.100,14.900,8.940,7.340,0.267,*,*,*,*,*,*,*,*,*,*,*,7
1986,castor bean meal,1985-09-23 00:00:00,19,*,*,1.505,88.700,1.330,6.380,*,0.980,1.120,0.670,0.550,0.020,*,*,*,*,*,*,*,*,*,*,96.000,*,13.100,14.900,8.940,7.340,0.267,*,*,*,*,*,*,*,*,*,*,*,7
1987,castor bean meal,1986-09-19 00:00:00,19,*,*,1.505,88.700,1.330,6.380,*,0.980,1.120,0.670,0.550,0.020,*,*,*,*,*,*,*,*,*,*,96.000,*,13.100,14.900,8.940,7.340,0.267,*,*,*,*,*,*,*,*,*,*,*,7
1988,castor bean meal,1987-09-28 00:00:00,19,*,*,1.505,88.700,1.330,6.380,*,0.980,1.120,0.670,0.550,0.020,*,*,*,*,*,*,*,*,*,*,96.000,*,13.100,14.900,8.940,7.340,0.267,*,*,*,*,*,*,*,*,*,*,*,7
